,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,year,term_ 60 months,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,addr_state_AL,addr_state_AR,addr_state_AZ,addr_state_CA,addr_state_CO,addr_state_CT,addr_state_DC,addr_state_DE,addr_state_FL,addr_state_GA,addr_state_HI,addr_state_ID,addr_state_IL,addr_state_IN,addr_state_KS,addr_state_KY,addr_state_LA,addr_state_MA,addr_state_MD,addr_state_ME,addr_state_MI,addr_state_MN,addr_state_MO,addr_state_MS,addr_state_MT,addr_state_NC,addr_state_ND,addr_state_NE,addr_state_NH,addr_state_NJ,addr_state_NM,addr_state_NV,addr_state_NY,addr_state_OH,addr_state_OK,addr_state_OR,addr_state_PA,addr_state_RI,addr_state_SC,addr_state_SD,addr_state_TN,addr_state_TX,addr_state_UT,addr_state_VA,addr_state_VT,addr_state_WA,addr_state_WI,addr_state_WV,addr_state_WY,initial_list_status_w,application_type_Joint App,label
58,5000.0,5000.0,5000.0,0.1075,163.11,38000.0,medical,17.88,0.0,665.0,669.0,0.0,8.0,1.0,4356.0,0.0,0.0,0.0,15094.0,11900.0,5.0,1887.0,0.0,0.0,189.0,2.0,2.0,0.0,0.0,3.0,5.0,3.0,5.0,1.0,7.0,13.0,5.0,8.0,0.0,0.0,2.0,100.0,1.0,0.0,30127.0,15094.0,4500.0,18227.0,2016,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,4000.0,4000.0,4000.0,0.0697,123.46,94500.0,car,10.07,0.0,720.0,724.0,0.0,9.0,0.0,3532.0,0.0,0.0,2070.0,15723.0,27800.0,6.0,1747.0,0.0,0.0,255.0,3.0,3.0,1.0,0.0,4.0,4.0,6.0,11.0,7.0,6.0,15.0,4.0,9.0,0.0,0.0,4.0,82.6,0.0,0.0,59233.0,15723.0,27800.0,31433.0,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,25000.0,25000.0,25000.0,0.0975,803.75,93000.0,medical,14.6,0.0,725.0,729.0,1.0,12.0,0.0,19628.0,0.0,0.0,0.0,41881.0,56800.0,5.0,3490.0,0.0,0.0,222.0,5.0,5.0,1.0,0.0,3.0,6.0,5.0,8.0,5.0,10.0,13.0,6.0,12.0,0.0,0.0,3.0,100.0,0.0,0.0,90893.0,41881.0,34700.0,28547.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
365,11200.0,11200.0,11200.0,0.1367,258.7,65000.0,car,28.9,0.0,720.0,724.0,0.0,10.0,0.0,16843.0,0.0,0.0,0.0,280619.0,25500.0,5.0,28062.0,0.0,0.0,243.0,4.0,4.0,3.0,0.0,2.0,4.0,2.0,2.0,12.0,5.0,6.0,4.0,10.0,0.0,0.0,4.0,100.0,0.0,0.0,300559.0,90912.0,11800.0,82409.0,2016,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,5000.0,5000.0,5000.0,0.1446,172.01,100000.0,medical,12.13,1.0,665.0,669.0,0.0,15.0,0.0,7016.0,0.0,1.0,0.0,37013.0,17600.0,11.0,3365.0,1.0,0.0,122.0,4.0,4.0,0.0,1.0,3.0,6.0,4.0,5.0,3.0,8.0,11.0,6.0,15.0,0.0,1.0,3.0,95.2,0.0,0.0,52701.0,37013.0,1900.0,30574.0,2016,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,7200.0,7200.0,7200.0,0.0839,226.92,197000.0,car,8.08,0.0,675.0,679.0,1.0,9.0,1.0,762.0,0.0,0.0,0.0,55556.0,14200.0,5.0,7937.0,0.0,0.0,190.0,31.0,1.0,1.0,0.0,2.0,2.0,3.0,9.0,13.0,5.0,13.0,2.0,7.0,0.0,0.0,3.0,100.0,1.0,0.0,73780.0,55556.0,10200.0,59580.0,2016,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
463,3600.0,3600.0,3600.0,0.1727,128.84,90000.0,medical,27.8,0.0,695.0,699.0,1.0,8.0,0.0,6277.0,0.0,0.0,1374.0,87820.0,7500.0,3.0,10978.0,0.0,0.0,177.0,27.0,7.0,0.0,0.0,1.0,1.0,1.0,10.0,19.0,2.0,13.0,1.0,8.0,0.0,0.0,2.0,96.9,0.0,0.0,132701.0,87820.0,6500.0,125201.0,2016,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
574,6000.0,6000.0,6000.0,0.1727,214.73,90000.0,car,36.64,1.0,705.0,709.0,0.0,22.0,0.0,7829.0,0.0,0.0,0.0,106611.0,36000.0,14.0,4846.0,0.0,0.0,68.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,5.0,31.0,14.0,19.0,4.0,22.0,0.0,0.0,4.0,98.0,0.0,0.0,178921.0,106611.0,4000.0,142921.0,2016,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
658,2400.0,2400.0,2350.0,0.2118,90.65,18200.0,car,5.21,0.0,695.0,699.0,2.0,3.0,0.0,853.0,0.0,0.0,0.0,853.0,4100.0,2.0,284.0,0.0,0.0,35.0,19.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,4100.0,853.0,0.0,0.0,2016,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,2500.0,2500.0,2500.0,0.0916,79.69,45000.0,car,5.33,0.0,740.0,744.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,119488.0,3500.0,7.0,39829.0,0.0,0.0,106.0,24.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,36.0,2.0,2.0,0.0,4.0,0.0,0.0,2.0,100.0,0.0,0.0,126660.0,6603.0,0.0,6560.0,2016,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
